asset_id,pack_name,original_local_path,target_game_path,asset_kind,source_url,author_or_rightsholder,license_name,license_file_path,license_evidence,attribution_required,required_attribution_text,redistribution_allowed,modification_allowed,commercial_use_allowed,security_review_status,decision,decision_reason,sha256,audit_date
polypizza_gothic_church_a,"Poly.Pizza — Church.glb (gothic-set, Variante)","godot_assets/buildings/polypizza_gothic-set/Church.glb",,model,"(unklar — laut MANIFEST.md eine von mehreren church-Suchvarianten: 6vzTphxL9w4 / 8jSIJfw17cz / GHzPfvoyzX)","(nicht eindeutig ermittelbar)","(nicht eindeutig ermittelbar)","(keine lokale Lizenzdatei)","MANIFEST.md nennt mehrere Church-Varianten ohne eindeutige Datei-zu-URL-Zuordnung; keine der drei genannten Quellen konnte dieser konkreten Datei zugeordnet und einzeln verifiziert werden. Verifizierte Kandidatenquellen (offizielle poly.pizza-Seiten, Abruf 2026-07-01): https://poly.pizza/m/6vzTphxL9w4 = CC-BY (Autor: Poly by Google); https://poly.pizza/m/8jSIJfw17cz = CC-BY (Autor: Poly by Google); https://poly.pizza/m/GHzPfvoyzX = CC0 (Autor: CreativeTrio) — zwei verschiedene Autoren/Lizenzen, keine Datei-zu-Quelle-Zuordnung möglich",no,,no,no,no,clean,EXCLUDED,"Kandidaten stammen von zwei verschiedenen Autoren/Lizenzen (Poly by Google CC-BY vs. CreativeTrio CC0); ohne eindeutige Datei-zu-Quelle-Zuordnung ist die bei CC-BY zwingende korrekte Attribution nicht garantierbar; zudem redundant zur bereits freigegebenen, verifizierten polypizza_church_poly-by-google.glb — konservativ ausgeschlossen",65561692dc263d6e1d490d6a4074c3bfc4d4c3934467769f6f30d9c0cbec5110,2026-07-01
polypizza_gothic_church_b,"Poly.Pizza — Church (1).glb (gothic-set, Variante)","godot_assets/buildings/polypizza_gothic-set/Church (1).glb",,model,"(unklar — laut MANIFEST.md eine von mehreren church-Suchvarianten)","(nicht eindeutig ermittelbar)","(nicht eindeutig ermittelbar)","(keine lokale Lizenzdatei)","Zweite Church-Variante ohne eindeutige Datei-zu-URL-Zuordnung. Verifizierte Kandidatenquellen (offizielle poly.pizza-Seiten, Abruf 2026-07-01): https://poly.pizza/m/6vzTphxL9w4 = CC-BY (Autor: Poly by Google); https://poly.pizza/m/8jSIJfw17cz = CC-BY (Autor: Poly by Google); https://poly.pizza/m/GHzPfvoyzX = CC0 (Autor: CreativeTrio) — zwei verschiedene Autoren/Lizenzen, keine Datei-zu-Quelle-Zuordnung möglich",no,,no,no,no,clean,EXCLUDED,"Kandidaten stammen von zwei verschiedenen Autoren/Lizenzen (Poly by Google CC-BY vs. CreativeTrio CC0); ohne eindeutige Datei-zu-Quelle-Zuordnung ist die bei CC-BY zwingende korrekte Attribution nicht garantierbar; zudem redundant zur bereits freigegebenen, verifizierten polypizza_church_poly-by-google.glb — konservativ ausgeschlossen",4c672d770f2cbad2ed0b643e162d318aa09e76dcd190a515bb4bab1717e7f569,2026-07-01
oga_knight_quaternius,"OpenGameArt — LowPoly Animated Knight (Quaternius)","godot_assets/characters/knight-character_quaternius_cc0/","game/assets/third_party/opengameart/knight-quaternius/",model_pack,https://opengameart.org/content/lowpoly-animated-knight,"quaternius","CC0","(keine lokale Lizenzdatei — offizielle Quelle OpenGameArt, Abruf 2026-07-01)","opengameart.org/content/lowpoly-animated-knight: 'License(s): CC0'; 'Author: quaternius'",no,,yes,yes,yes,clean,APPROVED,"Offizielle OGA-Seite verifiziert: CC0",36aed14d0e27282bd006982e00206a852b1d8c00fc72f95c2437d9b4b5dccdb9,2026-07-01
oga_lowpoly_rpg_characters,"OpenGameArt — LowPoly RPG Characters (Quaternius, Nov 2020)","godot_assets/characters/lowpoly-rpg-characters_cc0/RPG Characters - Nov 2020/","game/assets/third_party/opengameart/rpg-characters/",model_pack,https://opengameart.org/content/lowpoly-rpg-characters,"@Quaternius","CC0 1.0 Universal","godot_assets/characters/lowpoly-rpg-characters_cc0/RPG Characters - Nov 2020/License.txt","LowPoly Models by @Quaternius … License: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication",no,,yes,yes,yes,clean,APPROVED,"Lokale License.txt geprüft: CC0",5399e0cfaf313ff362455de4086488d093465434b1b93b0ced649f3773a15fd7,2026-07-01
oga_monk_cdmir,"OpenGameArt — Monk (CDmir, converted .blend → .glb)","godot_assets/characters/oga_monk_cc0.blend","game/assets/third_party/opengameart/monk.glb",model,https://opengameart.org/content/monk,"CDmir (Collaborators: TinyWorlds)","CC0","(keine lokale Lizenzdatei — offizielle Quelle OpenGameArt, Abruf 2026-07-01)","opengameart.org/content/monk: 'License(s): CC0'; 'Author: CDmir … Collaborators: TinyWorlds'",no,,yes,yes,yes,clean,APPROVED,"Offizielle OGA-Seite verifiziert: CC0. .blend headless via Blender zu GLB exportiert; Godot importiert GLB direkt.",db2c8e43782044061424df1329017f19920f61017144120deda53bd82e74263e,2026-07-01
kenney_impact_sounds,"Kenney Impact Sounds","godot_assets/audio/kenney_impact-sounds/","game/assets/audio/sfx/kenney-impact/",audio_pack,https://kenney.nl/assets/impact-sounds,"Kenney (kenney.nl)","CC0 1.0 Universal","godot_assets/audio/kenney_impact-sounds/License.txt","License: (Creative Commons Zero, CC0) … free to use in personal, educational and commercial projects. Support us by crediting Kenney … (this is not mandatory)",no,,yes,yes,yes,clean,APPROVED,"Lokale License.txt geprüft: CC0",029d734af1582474edf3a694d1b0cebc97c1c152f2f39fa34d4c2bafc5de77f8,2026-07-01
kenney_rpg_audio,"Kenney RPG Audio","godot_assets/audio/kenney_rpg-audio/","game/assets/audio/sfx/kenney-rpg/",audio_pack,https://kenney.nl/assets/rpg-audio,"Kenney Vleugels (kenney.nl)","CC0 1.0 Universal","godot_assets/audio/kenney_rpg-audio/License.txt","License (Creative Commons Zero, CC0) … You may use these assets in personal and commercial projects. Credit (Kenney or www.kenney.nl) would be nice but is not mandatory.",no,,yes,yes,yes,clean,APPROVED,"Lokale License.txt geprüft: CC0",6dbeaf8544da958d8f2adcb4a4a4b76c1ade34a05f8ab9edccd327da7375f38b,2026-07-01
kenney_ui_audio,"Kenney UI Audio","godot_assets/audio/kenney_ui-audio/","game/assets/audio/sfx/kenney-ui/",audio_pack,https://kenney.nl/assets/ui-audio,"Kenney Vleugels (kenney.nl)","CC0 1.0 Universal","godot_assets/audio/kenney_ui-audio/License.txt","License (Creative Commons Zero, CC0) … You may use these assets in personal and commercial projects. Credit … would be nice but is not mandatory.",no,,yes,yes,yes,clean,APPROVED,"Lokale License.txt geprüft: CC0",946fc23a63d535d693eb31b2eabb80c8c28d6351e2186b344ceb71b2cb1d5eb6,2026-07-01
oga_sword_sounds_starninjas,"OpenGameArt — 20 Sword Sound Effects (StarNinjas)","godot_assets/audio/oga_sword-sounds_cc0/","game/assets/audio/sfx/oga-sword/",audio_pack,https://opengameart.org/content/20-sword-sound-effects-attacks-and-clashes,"StarNinjas","CC0","(keine lokale Lizenzdatei — offizielle Quelle OpenGameArt, Abruf 2026-07-01)","opengameart.org/content/20-sword-sound-effects…: 'License(s): CC0'; 'Credit is appreciated, thanks! (Just put a link to my OGA profile)'",no,,yes,yes,yes,clean,APPROVED,"Offizielle OGA-Seite verifiziert: CC0, Credit erwünscht aber optional",87a1fe1cfeee5f282fe06a7a9c25ab9ebf24b7674fe19171b7f2762dffb628c1,2026-07-01
oga_music_town_theme,"OpenGameArt — Town Theme RPG (cynicmusic)","godot_assets/audio/oga_music/TownTheme_cc0.mp3","game/assets/audio/music/TownTheme.mp3",audio,https://opengameart.org/content/town-theme-rpg,"cynicmusic","CC0","(keine lokale Lizenzdatei — offizielle Quelle OpenGameArt, Abruf 2026-07-01)","opengameart.org/content/town-theme-rpg: 'License(s): CC0'; 'Author: cynicmusic'",no,,yes,yes,yes,clean,APPROVED,"Offizielle OGA-Seite verifiziert: CC0",2657861d5107d4a3c01ef81cb6a4d61ddd5e7a054b6da57e658373d79d0c3466,2026-07-01
oga_music_battle_theme,"OpenGameArt — Battle Theme (Wolfgang_)","godot_assets/audio/oga_music/BattleTheme_cc0.mp3","game/assets/audio/music/BattleTheme.mp3",audio,https://opengameart.org/content/battle-theme-0,"Wolfgang_","CC0","(keine lokale Lizenzdatei — offizielle Quelle OpenGameArt, Abruf 2026-07-01)","opengameart.org/content/battle-theme-0: 'License(s): CC0'; 'Attribution Instructions: You do not have to credit me.'",no,,yes,yes,yes,clean,APPROVED,"Offizielle OGA-Seite verifiziert: CC0. Autorfeld: Wolfgang_ (kein Klarname auf der Seite)",dde7bd4f10bde031800ba8e22151fad591b7c13e1c9ae51920341b4e4ae37be5,2026-07-01
oga_music_boss_battle,"OpenGameArt — Boss Battle Music (SubspaceAudio)","godot_assets/audio/oga_music/BossBattle_JuhaniJunkala_cc0.wav","game/assets/audio/music/BossBattle.wav",audio,https://opengameart.org/content/boss-battle-music,"SubspaceAudio (Juhani Junkala)","CC0","(keine lokale Lizenzdatei — offizielle Quelle OpenGameArt, Abruf 2026-07-01)","opengameart.org/content/boss-battle-music: 'License(s): CC0'; 'Author: SubspaceAudio'",no,,yes,yes,yes,clean,APPROVED,"Offizielle OGA-Seite verifiziert: CC0. Autorfeld SubspaceAudio (= Junkalas OGA-Profil)",35f75b4381dfbb053992876f7dfc567d9fd959d61b73954d5b1cd519753e7df1,2026-07-01
oga_music_church_bell,"OpenGameArt — Church Bell (Ulrich Metzner)","godot_assets/audio/oga_music/ChurchBell_ccbysa.mp3",,audio,https://opengameart.org/content/church-bell,"Ulrich Metzner (Submitted by qubodup)","CC-BY-SA 3.0","(keine lokale Lizenzdatei — offizielle Quelle OpenGameArt, Abruf 2026-07-01)","opengameart.org/content/church-bell: 'License(s): CC-BY-SA 3.0' (→ licenses/by-sa/3.0/); 'Author: Ulrich Metzner (Submitted by qubodup)'",yes,,yes,yes,yes,clean,EXCLUDED,"CC-BY-SA 3.0 — Share-Alike würde abgeleitete Werke/das Gesamtwerk zur SA-Lizenzierung zwingen; für ein später veröffentlichbares Spiel konservativ ausgeschlossen",ee83aee0a4e70188a2f4c2f1a5173853d2642d13be21a3e60a63f49307181b5b,2026-07-01
sketchfab_monk_inuciian,"Sketchfab — Monk Character (Inuciian)",,,model,https://sketchfab.com/3d-models/monk-character-8cacbd85a5b84f59a8c9000d7a6dcca2,"Inuciian","CC-BY 4.0","(nicht im Bestand)","MANIFEST.md: 'Noch offen (Login erforderlich, nicht automatisch geladen)' — Datei liegt nicht in godot_assets/ vor",yes,,yes,yes,yes,not_present,EXCLUDED,"Asset ist nicht im Repository/Bestand vorhanden (nie heruntergeladen) — außerhalb des Scope",,2026-07-01
